Id,Habit,Date,Note,Check In Count,Days in Streak,Prop Count,Comment Count,URL
1570988,Read,2012-11-27,,418,1,0,0,https://www.coach.me/c/1570988
1572399,Run + Muscles,2012-11-27,,1,1,0,0,https://www.coach.me/c/1572399
1590788,Run + Muscles,2012-11-28,,2,2,0,0,https://www.coach.me/c/1590788
1604244,Run,2012-11-29,,1,1,0,0,https://www.coach.me/c/1604244
1604409,Muscle workout,2012-11-29,,1,1,0,0,https://www.coach.me/c/1604409
1604410,Educational Video,2012-11-29,,1,1,0,0,https://www.coach.me/c/1604410
1608352,Read: 5 articles,2012-11-29,,1,1,0,0,https://www.coach.me/c/1608352
1613960,Read: 20 book pages,2012-11-30,,1,1,0,0,https://www.coach.me/c/1613960
1614250,Read: 5 articles,2012-11-30,,2,2,0,0,https://www.coach.me/c/1614250
1614261,Educational Video,2012-11-30,,2,2,0,0,https://www.coach.me/c/1614261
1614679,Run,2012-11-30,,2,2,0,0,https://www.coach.me/c/1614679
1614703,Muscle workout,2012-11-30,,2,2,0,0,https://www.coach.me/c/1614703
1667425,Creativity,2012-12-03,,276,1,0,0,https://www.coach.me/c/1667425
1667424,Don't spend money,2012-12-03,,1,1,0,0,https://www.coach.me/c/1667424
1655997,Read: 20 book pages,2012-12-03,,2,1,0,0,https://www.coach.me/c/1655997
1656965,Run,2012-12-03,,3,1,0,0,https://www.coach.me/c/1656965
1656967,Muscle workout,2012-12-03,,3,1,0,0,https://www.coach.me/c/1656967
1656969,Read: 5 articles,2012-12-03,,3,1,0,0,https://www.coach.me/c/1656969
1657507,Educational Video,2012-12-03,,3,1,0,0,https://www.coach.me/c/1657507
1667423,Creativity,2012-12-04,,276,2,0,0,https://www.coach.me/c/1667423
1669005,Run,2012-12-04,,4,2,0,0,https://www.coach.me/c/1669005
1669007,Muscle workout,2012-12-04,,4,2,0,0,https://www.coach.me/c/1669007
1669010,Educational Video,2012-12-04,,4,2,0,0,https://www.coach.me/c/1669010
1670161,Read: 5 articles,2012-12-04,,4,2,0,0,https://www.coach.me/c/1670161
1685970,Educational Video,2012-12-05,,5,3,0,0,https://www.coach.me/c/1685970
1685976,Read: 5 articles,2012-12-05,,5,3,0,0,https://www.coach.me/c/1685976
1685981,Creativity,2012-12-05,,278,3,0,0,https://www.coach.me/c/1685981
1686317,Run,2012-12-05,,5,3,0,0,https://www.coach.me/c/1686317
1689409,Muscle workout,2012-12-05,,5,3,0,0,https://www.coach.me/c/1689409
1700728,Educational Video,2012-12-06,,6,4,0,0,https://www.coach.me/c/1700728
1700729,Creativity,2012-12-06,,279,4,0,0,https://www.coach.me/c/1700729
1700730,Read: 5 articles,2012-12-06,,6,4,0,0,https://www.coach.me/c/1700730
1704313,Muscle workout,2012-12-06,,6,4,0,0,https://www.coach.me/c/1704313
1704314,Run,2012-12-06,,6,4,0,0,https://www.coach.me/c/1704314
1714246,Muscle workout,2012-12-07,,7,5,0,0,https://www.coach.me/c/1714246
1714247,Run,2012-12-07,,7,5,0,0,https://www.coach.me/c/1714247
1714479,Educational Video,2012-12-07,,7,5,0,0,https://www.coach.me/c/1714479
1735228,Creativity,2012-12-08,,280,1,0,0,https://www.coach.me/c/1735228
1735227,Creativity,2012-12-09,,280,2,0,0,https://www.coach.me/c/1735227
1737065,Muscle workout,2012-12-09,,8,1,0,0,https://www.coach.me/c/1737065
1746596,Educational Video,2012-12-10,,8,1,0,0,https://www.coach.me/c/1746596
1746597,Creativity,2012-12-10,,282,3,0,0,https://www.coach.me/c/1746597
1747231,Read: 5 articles,2012-12-10,,7,1,0,0,https://www.coach.me/c/1747231
1749732,Muscle workout,2012-12-10,,9,2,0,0,https://www.coach.me/c/1749732
1749733,Run,2012-12-10,,8,1,0,0,https://www.coach.me/c/1749733
1769675,Don't spend money,2012-12-11,,2,1,0,0,https://www.coach.me/c/1769675
1769677,Educational Video,2012-12-11,,9,2,0,0,https://www.coach.me/c/1769677
1769678,Muscle workout,2012-12-11,,10,3,0,0,https://www.coach.me/c/1769678
1769679,Run,2012-12-11,,9,2,0,0,https://www.coach.me/c/1769679
1769681,Read: 5 articles,2012-12-11,,8,2,0,0,https://www.coach.me/c/1769681
1769683,Creativity,2012-12-11,,283,4,0,0,https://www.coach.me/c/1769683
1776986,Educational Video,2012-12-12,,10,3,0,0,https://www.coach.me/c/1776986
